"Date" "Description" "URL" "Price" "User" "Reviews" "Product"
"2015-05-03 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-03 ." " Tomcat Worm ." " http://trdealmgn4uvm42g.onion/item/5de05c149fcb40151d7a ." " BTC 7.39234892 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-03 ." " ProFTPD mod_copy worm ." " http://trdealmgn4uvm42g.onion/item/e4fe83e5d9466675996c ." " BTC 6.16029077 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-03 ." " Jboss worm code ." " http://trdealmgn4uvm42g.onion/item/3388f9514233b158f53a ." " BTC 3.08014538 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-03 ." " Dendroid Android RAT ." " http://trdealmgn4uvm42g.onion/item/152be40c232ba3914762 ." " BTC 0.03080145 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-03 ." " Start your own maket ." " http://trdealmgn4uvm42g.onion/item/eb94d0e39b8f415c54c7 ." " BTC 32.94350189 ." " TRD_OFFICIAL ." " 0 reviews ." " : Source Code"
"2015-05-03 ." " 1x Code signing cert ." " http://trdealmgn4uvm42g.onion/item/fe8314d487032fa51cc4 ." " BTC 1.25000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-03 ." " Unlimited REAL code signing ." " http://trdealmgn4uvm42g.onion/item/62927212a9f52d9995dd ." " BTC 4.20000000 ." " bestbuy ." " 0 reviews ." " : Source Code"
"2015-05-07 ." " *NEW* ring0 LPE Exploit CVE-2015-0057 ." " http://trdealmgn4uvm42g.onion/item/fa69dbf05c06a16d4e78 ." " BTC 48.17000000 ." " PlayBit ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-07 ." " MS15-034  Microsoft IIS Remote Code Execution ." " http://trdealmgn4uvm42g.onion/item/c61b9e0d8369546c47b6 ." " BTC 313.75502008 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-07 ." " Netis / Netcore router RCE ." " http://trdealmgn4uvm42g.onion/item/26717c05754d8cb16086 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 1Day Private Exploits"
"2015-05-07 ." " NiceGuy Message spammer ." " http://trdealmgn4uvm42g.onion/item/0e404539857089829636 ." " BTC 0.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-07 ." " Wordpress Comment Spammer + Exploit ." " http://trdealmgn4uvm42g.onion/item/3b40d9e28a79ac0a075e ." " BTC 2.50000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-07 ." " Agora Message Spammer ." " http://trdealmgn4uvm42g.onion/item/746709460811baa62654 ." " BTC 0.60000000 ." " bestbuy ." " 0 reviews ." " : Spam"
"2015-05-07 ." " The real GovRAT ." " http://trdealmgn4uvm42g.onion/item/7615c663b6ebb2e9a8e2 ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : RATs"
"2015-05-07 ." " Hack any appleid and iCloud ." " http://trdealmgn4uvm42g.onion/item/ea438d4eb9b39cf8a08f ." " BTC 111.00000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-07 ." " Linux <= 3.13.0-48 Kernel Panic ." " http://trdealmgn4uvm42g.onion/item/f995579ba375d75275f8 ." " BTC 2.00000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-07 ." " Internet Explorer <= 11 ." " http://trdealmgn4uvm42g.onion/item/b1dae71ccf3c657127cc ." " BTC 35.00000000 ." " fukwits ." " 0 reviews ." " : 0-Day exploits"
"2015-05-07 ." " Android WebView 0day RCE ." " http://trdealmgn4uvm42g.onion/item/86a2a5b9a2f80780b28f ." " BTC 36.50000000 ." " Logger ." " 0 reviews ." " : 0-Day exploits"
"2015-05-07 ." " Wordpress MU RCE ." " http://trdealmgn4uvm42g.onion/item/66195bb72c6254c8be4f ." " BTC 4.50000000 ." " bestbuy ." " 0 reviews ." " : 0-Day exploits"
"2015-05-07 ." " Exploit BTS ." " http://trdealmgn4uvm42g.onion/item/4e7c03818304113c2a7b ." " BTC 219.62851406 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-07 ." " A5/1 Encryption Rainbow Tables ." " http://trdealmgn4uvm42g.onion/item/c2dbf5ff8f4482cd5b18 ." " BTC 3.80000000 ." " bestbuy ." " 0 reviews ." " : Hardware"
"2015-05-07 ." " Virtual credit card + bank account $$$ ." " http://trdealmgn4uvm42g.onion/item/d32a3788003bc1391866 ." " BTC 0.01260000 ." " JDI ." " 0 reviews ." " : Accounts"
